playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,track.artists,track.available_markets,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_group,track.album.album_type,track.album.artists,track.album.available_markets,track.album.href,track.album.id,track.album.images,track.album.is_playable,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode,lyricist,duplicate,project
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.635,0.599,7,-15.543,1,0.0976,0.473,6.16E-05,0.061,0.679,163.993,47emvoa8N7zhTK0dQNK95g,https://api.spotify.com/v1/audio-analysis/47emvoa8N7zhTK0dQNK95g,4,2023-03-19T23:56:27Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,208533,FALSE,FALSE,https://api.spotify.com/v1/tracks/47emvoa8N7zhTK0dQNK95g,FALSE,Prologue (Little Shop Of Horrors),37,NA,TRUE,1,track,spotify:track:47emvoa8N7zhTK0dQNK95g,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612501,https://open.spotify.com/track/47emvoa8N7zhTK0dQNK95g,NA,G,major,G major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.42,0.344,10,-15.964,1,0.0756,0.695,0,0.526,0.612,141.427,2ZoLOgDO87kfrxDiK9WD1f,https://api.spotify.com/v1/audio-analysis/2ZoLOgDO87kfrxDiK9WD1f,4,2023-03-19T23:56:32Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,257026,FALSE,FALSE,https://api.spotify.com/v1/tracks/2ZoLOgDO87kfrxDiK9WD1f,FALSE,Skid Row (Downtown),41,NA,TRUE,2,track,spotify:track:2ZoLOgDO87kfrxDiK9WD1f,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612502,https://open.spotify.com/track/2ZoLOgDO87kfrxDiK9WD1f,NA,A#,major,A# major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.614,0.399,8,-19.008,1,0.17,0.455,0,0.0514,0.68,152.655,0BY1QS3ModR6FjgAdIIWtC,https://api.spotify.com/v1/audio-analysis/0BY1QS3ModR6FjgAdIIWtC,3,2023-03-19T23:56:34Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,85666,FALSE,FALSE,https://api.spotify.com/v1/tracks/0BY1QS3ModR6FjgAdIIWtC,FALSE,Da-Doo,35,NA,TRUE,3,track,spotify:track:0BY1QS3ModR6FjgAdIIWtC,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612503,https://open.spotify.com/track/0BY1QS3ModR6FjgAdIIWtC,NA,G#,major,G# major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.627,0.353,3,-15.803,1,0.0511,0.72,0,0.0927,0.361,138.206,0fpwYrXMzPghmvKwcWNxWb,https://api.spotify.com/v1/audio-analysis/0fpwYrXMzPghmvKwcWNxWb,3,2023-03-19T23:56:38Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,144800,FALSE,FALSE,https://api.spotify.com/v1/tracks/0fpwYrXMzPghmvKwcWNxWb,FALSE,Grow For Me,36,NA,TRUE,4,track,spotify:track:0fpwYrXMzPghmvKwcWNxWb,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612504,https://open.spotify.com/track/0fpwYrXMzPghmvKwcWNxWb,NA,D#,major,D# major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.399,0.0749,7,-21.631,1,0.0471,0.864,0,0.0973,0.119,109.758,0jcF0i1KXMtACuiFtOtl74,https://api.spotify.com/v1/audio-analysis/0jcF0i1KXMtACuiFtOtl74,4,2023-03-19T23:56:40Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,230733,FALSE,FALSE,https://api.spotify.com/v1/tracks/0jcF0i1KXMtACuiFtOtl74,FALSE,Somewhere That's Green,34,NA,TRUE,5,track,spotify:track:0jcF0i1KXMtACuiFtOtl74,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612505,https://open.spotify.com/track/0jcF0i1KXMtACuiFtOtl74,NA,G,major,G major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.675,0.659,7,-12.693,1,0.0864,0.661,0.00319,0.0683,0.789,174.563,0XD8PIk6ZPrvuOZI8kZON0,https://api.spotify.com/v1/audio-analysis/0XD8PIk6ZPrvuOZI8kZON0,4,2023-03-19T23:56:41Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,138773,FALSE,FALSE,https://api.spotify.com/v1/tracks/0XD8PIk6ZPrvuOZI8kZON0,FALSE,Some Fun Now,32,NA,TRUE,6,track,spotify:track:0XD8PIk6ZPrvuOZI8kZON0,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612506,https://open.spotify.com/track/0XD8PIk6ZPrvuOZI8kZON0,NA,G,major,G major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.758,0.545,5,-15.797,1,0.2,0.179,7.51E-04,0.419,0.919,149.479,2sXpIi6QaCuObFucSdfeJo,https://api.spotify.com/v1/audio-analysis/2sXpIi6QaCuObFucSdfeJo,4,2023-03-19T23:56:44Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,148960,FALSE,FALSE,https://api.spotify.com/v1/tracks/2sXpIi6QaCuObFucSdfeJo,FALSE,Dentist!,40,NA,TRUE,7,track,spotify:track:2sXpIi6QaCuObFucSdfeJo,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612507,https://open.spotify.com/track/2sXpIi6QaCuObFucSdfeJo,NA,F,major,F major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.485,0.551,0,-14.813,1,0.131,0.561,0,0.0691,0.471,94.601,4nQFN7nymIkyNuvWxZerm4,https://api.spotify.com/v1/audio-analysis/4nQFN7nymIkyNuvWxZerm4,4,2023-03-19T23:56:46Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,207106,FALSE,FALSE,https://api.spotify.com/v1/tracks/4nQFN7nymIkyNuvWxZerm4,FALSE,Feed Me (Git It),40,NA,TRUE,8,track,spotify:track:4nQFN7nymIkyNuvWxZerm4,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612508,https://open.spotify.com/track/4nQFN7nymIkyNuvWxZerm4,NA,C,major,C major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.356,0.252,9,-16.104,1,0.0392,0.75,0,0.0449,0.304,103.423,17bjIyOxxiew6VvVcZWee6,https://api.spotify.com/v1/audio-analysis/17bjIyOxxiew6VvVcZWee6,4,2023-03-19T23:56:48Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,208226,FALSE,FALSE,https://api.spotify.com/v1/tracks/17bjIyOxxiew6VvVcZWee6,FALSE,"Suddenly, Seymour",42,NA,TRUE,9,track,spotify:track:17bjIyOxxiew6VvVcZWee6,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612509,https://open.spotify.com/track/17bjIyOxxiew6VvVcZWee6,NA,A,major,A major,Howard Ashman,no,Little Shop Of Horrors
11Uq5T4xZGmo2zGkErg9jy,Alan Menken Songs,https://mosaic.scdn.co/640/ab67616d0000b2730f6e34072354d1ec51e40e16ab67616d0000b2732bf585fa65e5608b365f4909ab67616d0000b2733cc6ce0f434100e6914ba86bab67616d0000b273f27ae29b973caeff48534bab,philliphresh,philliphresh,0.428,0.437,7,-17.192,0,0.0796,0.615,1.02E-04,0.189,0.439,108.423,7iyX0pDxV9wUDEQPSGvNBA,https://api.spotify.com/v1/audio-analysis/7iyX0pDxV9wUDEQPSGvNBA,4,2023-03-19T23:56:50Z,FALSE,NA,https://api.spotify.com/v1/users/philliphresh,philliphresh,user,spotify:user:philliphresh,https://open.spotify.com/user/philliphresh,,,1,125373,FALSE,FALSE,https://api.spotify.com/v1/tracks/7iyX0pDxV9wUDEQPSGvNBA,FALSE,Suppertime,34,NA,TRUE,10,track,spotify:track:7iyX0pDxV9wUDEQPSGvNBA,compilation,compilation,,,https://api.spotify.com/v1/albums/2gBuzd9RlPwAmi1rokb7gw,2gBuzd9RlPwAmi1rokb7gw,,TRUE,Little Shop Of Horrors (Original Motion Picture Soundtrack),11/24/1986,day,13,album,spotify:album:2gBuzd9RlPwAmi1rokb7gw,https://open.spotify.com/album/2gBuzd9RlPwAmi1rokb7gw,USGF18612510,https://open.spotify.com/track/7iyX0pDxV9wUDEQPSGvNBA,NA,G,minor,G minor,Howard Ashman,no,Little Shop Of Horrors
